"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"26,0";"26,2";"26,0";"81,0";"81,0";"78,0";"22,4";"22,4";"22,1";"958,6";"958,6";"958,0";"0,0";"285,0";"1,4";"1,10";"0,0"
"01/01/2024";"0100";"25,3";"26,0";"25,2";"80,0";"81,0";"80,0";"21,7";"22,4";"21,6";"959,0";"959,0";"958,6";"0,1";"198,0";"1,6";"";"0,2"
"01/01/2024";"0200";"24,6";"25,3";"24,6";"80,0";"81,0";"80,0";"21,0";"21,7";"21,0";"959,3";"959,3";"959,0";"0,1";"135,0";"1,7";"";"0,0"
"01/01/2024";"0300";"24,7";"24,8";"24,5";"81,0";"81,0";"80,0";"21,1";"21,3";"20,9";"958,7";"959,3";"958,7";"0,0";"113,0";"1,0";"0,20";"0,0"
"01/01/2024";"0400";"24,5";"24,7";"24,4";"81,0";"81,0";"80,0";"21,0";"21,1";"20,9";"958,4";"958,8";"958,4";"0,4";"108,0";"1,1";"0,30";"0,2"
"01/01/2024";"0500";"24,1";"24,6";"24,0";"81,0";"81,0";"81,0";"20,6";"21,1";"20,6";"958,2";"958,5";"958,2";"0,8";"127,0";"2,8";"0,40";"0,0"
"01/01/2024";"0600";"23,9";"24,1";"23,9";"80,0";"81,0";"80,0";"20,3";"20,6";"20,2";"957,9";"958,2";"957,9";"0,2";"123,0";"3,5";"2,50";"0,0"
"01/01/2024";"0700";"23,9";"24,0";"23,8";"81,0";"81,0";"80,0";"20,5";"20,5";"20,3";"957,8";"957,9";"957,6";"0,0";"116,0";"1,7";"1,80";"0,0"
"01/01/2024";"0800";"23,9";"24,0";"23,8";"82,0";"82,0";"81,0";"20,5";"20,6";"20,3";"958,2";"958,2";"957,7";"0,0";"156,0";"0,8";"";"0,2"
"01/01/2024";"0900";"23,7";"23,9";"23,6";"82,0";"82,0";"81,0";"20,5";"20,5";"20,2";"958,8";"958,8";"958,2";"0,1";"13,0";"1,6";"10,20";"0,0"
"01/01/2024";"1000";"23,8";"23,9";"23,7";"82,0";"83,0";"82,0";"20,6";"20,7";"20,5";"959,3";"959,3";"958,8";"0,5";"309,0";"1,8";"42,90";"0,8"
"01/01/2024";"1100";"23,5";"23,9";"23,5";"83,0";"83,0";"82,0";"20,4";"20,7";"20,4";"959,7";"959,7";"959,3";"1,3";"265,0";"2,6";"91,70";"6,8"
