"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"23,4";"24,1";"23,4";"91,0";"91,0";"89,0";"21,9";"22,3";"21,9";"989,5";"989,5";"989,2";"2,8";"93,0";"6,7";"";"0,0"
"01/01/2024";"0100";"23,7";"23,7";"23,4";"90,0";"91,0";"90,0";"21,9";"22,0";"21,8";"990,0";"990,0";"989,5";"1,6";"84,0";"5,3";"";"0,0"
"01/01/2024";"0200";"23,9";"24,0";"23,7";"88,0";"90,0";"88,0";"21,8";"21,9";"21,8";"990,3";"990,4";"990,0";"1,7";"91,0";"3,4";"";"0,0"
"01/01/2024";"0300";"23,8";"24,0";"23,8";"90,0";"90,0";"88,0";"22,0";"22,0";"21,8";"989,9";"990,3";"989,9";"2,0";"95,0";"5,1";"";"0,0"
"01/01/2024";"0400";"23,7";"23,8";"23,7";"90,0";"90,0";"90,0";"22,0";"22,1";"21,9";"989,6";"990,0";"989,6";"0,3";"165,0";"3,4";"";"0,0"
"01/01/2024";"0500";"23,7";"23,8";"23,6";"91,0";"91,0";"90,0";"22,1";"22,1";"22,0";"989,4";"989,6";"989,4";"0,1";"103,0";"1,3";"";"0,2"
"01/01/2024";"0600";"23,5";"23,7";"23,4";"92,0";"93,0";"91,0";"22,1";"22,2";"22,0";"989,1";"989,4";"989,1";"1,2";"94,0";"2,6";"";"0,2"
"01/01/2024";"0700";"23,4";"23,5";"23,4";"91,0";"92,0";"91,0";"21,8";"22,0";"21,8";"988,9";"989,2";"988,9";"0,2";"104,0";"2,9";"";"0,0"
"01/01/2024";"0800";"23,6";"23,6";"23,4";"90,0";"91,0";"90,0";"21,8";"22,0";"21,8";"989,2";"989,3";"988,9";"0,4";"105,0";"1,5";"";"0,0"
"01/01/2024";"0900";"23,5";"23,6";"23,3";"86,0";"90,0";"86,0";"21,0";"21,7";"21,0";"989,7";"989,7";"989,2";"0,0";"214,0";"2,1";"17,40";"0,0"
"01/01/2024";"1000";"23,7";"23,7";"23,5";"86,0";"86,0";"84,0";"21,1";"21,1";"20,8";"990,3";"990,3";"989,7";"0,0";"113,0";"0,9";"82,70";"0,0"
